player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
cory joseph,346,175,363,159.9108,0.5057803468208093,0.5245664739884393,0.4621699338703486,0.0436104129504607,34.0,68.0,17.0,17.0,51.0
derrick rose,774,315,701,331.13425,0.4069767441860465,0.4528423772609819,0.4278220243232195,-0.02084528013717296,210.0,229.0,193.0,17.0,36.0
dante exum,285,98,249,114.512146,0.34385964912280703,0.4368421052631579,0.4017970034950658,-0.057937354372258776,262.0,246.0,246.0,16.0,0.0
mike conley,727,325,735,322.5173,0.4470426409903714,0.5055020632737276,0.44362765263658444,0.003414988353786952,130.0,94.0,115.0,15.0,-21.0
andre miller,174,95,191,78.3271,0.5459770114942529,0.5488505747126436,0.45015576242030353,0.0958212490739494,17.0,32.0,2.0,15.0,30.0
kevin seraphin,336,173,346,156.29361,0.5148809523809523,0.5148809523809523,0.4651595524379185,0.04972139994303382,28.0,79.0,13.0,15.0,66.0
chase budinger,199,74,173,83.5163,0.37185929648241206,0.43467336683417085,0.4196798813402952,-0.04782058485788315,250.0,248.0,239.0,11.0,9.0
patrick beverley,456,174,449,193.45506,0.3815789473684211,0.4923245614035088,0.4242435589171292,-0.04266461154870815,244.0,139.0,233.0,11.0,-94.0
markieff morris,830,388,823,373.42972,0.4674698795180723,0.49578313253012046,0.4499153229127447,0.017554556605327565,86.0,124.0,75.0,11.0,49.0
shabazz muhammad,391,191,402,179.93654,0.4884910485933504,0.5140664961636828,0.46019575114140426,0.028295297451946144,58.0,82.0,48.0,10.0,34.0
kj mcdaniels,416,165,373,178.73775,0.39663461538461536,0.4483173076923077,0.4296580461355356,-0.033023430750920235,226.0,233.0,217.0,9.0,16.0
nikola vucevic,902,480,962,440.3304,0.532150776053215,0.5332594235033259,0.488171190485986,0.04397958556722903,24.0,55.0,15.0,9.0,40.0
shaun livingston,263,138,276,126.7579,0.5247148288973384,0.5247148288973384,0.4819691879214443,0.04274564097589417,26.0,67.0,18.0,8.0,49.0
kevin garnett,301,140,281,135.71852,0.46511627906976744,0.46677740863787376,0.4508920967380866,0.014224182331680824,90.0,204.0,82.0,8.0,122.0
lance stephenson,436,159,331,184.64151,0.3646788990825688,0.3795871559633027,0.4234897018572606,-0.058810802774691806,254.0,265.0,247.0,7.0,18.0
jimmer dredette,151,58,124,64.35642,0.3841059602649007,0.4105960264900662,0.4262014730087179,-0.04209551274381723,239.0,260.0,232.0,7.0,28.0
amare stoudemire,336,185,370,163.2207,0.5505952380952381,0.5505952380952381,0.4857759021577381,0.06481933593750006,13.0,28.0,7.0,6.0,21.0
brandon knight,828,355,829,362.7399,0.428743961352657,0.5006038647342995,0.4380916650744452,-0.00934770372178817,170.0,108.0,165.0,5.0,-57.0
jose juan barea,424,179,405,184.62337,0.4221698113207547,0.47759433962264153,0.4354324700697413,-0.013262658748986578,180.0,185.0,175.0,5.0,10.0
evan fournier,557,244,568,246.80862,0.4380610412926391,0.5098743267504489,0.44310345469942214,-0.0050424134067830195,151.0,84.0,147.0,4.0,-63.0
james johnson,311,191,392,159.51921,0.6141479099678456,0.6302250803858521,0.5129235074451115,0.10122440252273412,4.0,5.0,1.0,3.0,4.0
lebron james,978,478,1041,451.20517,0.4887525562372188,0.5322085889570553,0.46135497922058727,0.027397577016631536,57.0,57.0,54.0,3.0,3.0
ramon sessions,219,72,152,92.97989,0.3287671232876712,0.3470319634703196,0.4245657028128567,-0.0957985795251855,266.0,266.0,263.0,3.0,3.0
brandon jennings,543,218,512,235.20187,0.4014732965009208,0.4714548802946593,0.4331526220613202,-0.03167932556039943,219.0,195.0,216.0,3.0,-21.0
alexis ajinca,211,126,252,109.139824,0.5971563981042654,0.5971563981042654,0.5172503503012996,0.07990604780296573,6.0,8.0,4.0,2.0,4.0
john wall,874,392,831,391.53522,0.448512585812357,0.4754004576659039,0.44798079780910327,0.0005317880032537081,126.0,189.0,127.0,-1.0,62.0
tony parker,560,257,546,253.9483,0.4589285714285714,0.4875,0.45347911289760046,0.005449458530970952,104.0,156.0,106.0,-2.0,50.0
